I0317 10:52:37.326297     893 libfabric_common.cpp:81] Found device - domain: cni0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326317     893 libfabric_common.cpp:97] provider=sockets, device=ens22np0
I0317 10:52:37.326327     893 libfabric_common.cpp:97] provider=sockets, device=ens12np0
I0317 10:52:37.326328     893 libfabric_common.cpp:97] provider=sockets, device=ens21np0
I0317 10:52:37.326328     893 libfabric_common.cpp:97] provider=sockets, device=ens11np0
I0317 10:52:37.326329     893 libfabric_common.cpp:97] provider=sockets, device=ens42np0
I0317 10:52:37.326329     893 libfabric_common.cpp:97] provider=sockets, device=ens32np0
I0317 10:52:37.326330     893 libfabric_common.cpp:97] provider=sockets, device=ens41np0
I0317 10:52:37.326330     893 libfabric_common.cpp:97] provider=sockets, device=ens31np0
I0317 10:52:37.326331     893 libfabric_common.cpp:97] provider=sockets, device=ens22np0
I0317 10:52:37.326331     893 libfabric_common.cpp:97] provider=sockets, device=ens12np0
I0317 10:52:37.326332     893 libfabric_common.cpp:97] provider=sockets, device=ens21np0
I0317 10:52:37.326332     893 libfabric_common.cpp:97] provider=sockets, device=ens11np0
