I0317 11:12:08.203125     274 libfabric_common.cpp:81] Found device - domain: vethc924435f, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203126     274 libfabric_common.cpp:81] Found device - domain: vethe29b4b2e, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203127     274 libfabric_common.cpp:81] Found device - domain: veth4e77d7d4, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203129     274 libfabric_common.cpp:81] Found device - domain: cni0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203130     274 libfabric_common.cpp:81] Found device - domain: lo, provider=udp;ofi_rxd, ep_type=3, caps=0x108000000013f06
I0317 11:12:08.203131     274 libfabric_common.cpp:81] Found device - domain: lo, provider=udp;ofi_rxd, ep_type=3, caps=0x108000000013f06
I0317 11:12:08.203133     274 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203134     274 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203136     274 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203137     274 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203139     274 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203140     274 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203141     274 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203142     274 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203144     274 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203145     274 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203146     274 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203147     274 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203149     274 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203150     274 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203151     274 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203152     274 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203154     274 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203155     274 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203157     274 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 11:12:08.203158     274 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=sockets, ep_type=3, caps=0x13a000000313f06
